symbol,security_id,name,exchange_segment
JUBLFOOD,18096,Jubilant Foodworks Ltd.,NSE_EQ
JUBLINGREA,2783,Jubilant Ingrevia Ltd.,NSE_EQ
JUBLPHARMA,3637,Jubilant Pharmova Ltd.,NSE_EQ
JWL,20224,Jupiter Wagons Ltd.,NSE_EQ
JYOTICNC,21334,Jyoti CNC Automation Ltd.,NSE_EQ
KAJARIACER,1808,Kajaria Ceramics Ltd.,NSE_EQ
KALYANKJIL,2955,Kalyan Jewellers India Ltd.,NSE_EQ
KARURVYSYA,1838,Karur Vysya Bank Ltd.,NSE_EQ
KAYNES,12092,Kaynes Technology India Ltd.,NSE_EQ
KEC,13260,Kec International Ltd.,NSE_EQ
KEI,13310,KEI Industries Ltd.,NSE_EQ
KFINTECH,13359,Kfin Technologies Ltd.,NSE_EQ
KIMS,4847,Krishna Institute of Medical Sciences Ltd.,NSE_EQ
KIRLOSENG,20936,Kirloskar Oil Eng Ltd.,NSE_EQ
KOTAKBANK,1922,Kotak Mahindra Bank Ltd.,NSE_EQ
KPIL,1814,Kalpataru Projects International Ltd.,NSE_EQ
KPITTECH,9683,KPIT Technologies Ltd.,NSE_EQ
KPRMILL,14912,K.P.R. Mill Ltd.,NSE_EQ
LALPATHLAB,11654,Dr. Lal Path Labs Ltd.,NSE_EQ
LATENTVIEW,6818,Latent View Analytics Ltd.,NSE_EQ
LAURUSLABS,19234,Laurus Labs Ltd.,NSE_EQ
LEMONTREE,2606,Lemon Tree Hotels Ltd.,NSE_EQ
LENSKART,759605,Lenskart Solutions Ltd.,NSE_EQ
LGEINDIA,760213,LG Electronics India Ltd.,NSE_EQ
LICHSGFIN,1997,LIC Housing Finance Ltd.,NSE_EQ
LICI,9480,Life Insurance Corporation of India,NSE_EQ
LINDEINDIA,1627,Linde India Ltd.,NSE_EQ
LLOYDSME,17313,Lloyds Metals And Energy Ltd.,NSE_EQ
LODHA,3220,Lodha Developers Ltd.,NSE_EQ
LT,11483,Larsen & Toubro Ltd.,NSE_EQ
LTF,24948,L&T Finance Ltd.,NSE_EQ
LTFOODS,13816,LT Foods Ltd.,NSE_EQ
LTM,17818,LTM Ltd.,NSE_EQ
LTTS,18564,L&T Technology Services Ltd.,NSE_EQ
LUPIN,10440,Lupin Ltd.,NSE_EQ
M&M,2031,Mahindra & Mahindra Ltd.,NSE_EQ
M&MFIN,13285,Mahindra & Mahindra Financial Services Ltd.,NSE_EQ
MAHABANK,11377,Bank of Maharashtra,NSE_EQ
MANAPPURAM,19061,Manappuram Finance Ltd.,NSE_EQ
MANKIND,15380,Mankind Pharma Ltd.,NSE_EQ
